date,temperature,relative_humidity,pressure,wind_speed,wind_direction,visibility
2023-08-27,28,78.92,29.78,3,360,10.0
2017-12-26,22,94.06,30.2,4,360,10.0
2017-07-25,30,79.2,30.12,5,110,10.0
2015-01-15,18,88.1,30.1,7,340,5.0
2015-10-08,28,74.3,30.02,0,0,10.0
2015-07-08,28,74.3,30.11,7,90,10.0
2017-11-22,24,88.6,29.95,0,0,10.0
2014-12-12,17,63.4,30.26,7,340,10.0
2018-09-26,29,74.47,30.1,8,110,10.0
2018-08-17,29,74.47,30.19,8,90,10.0
2014-03-15,19,68.18,30.11,5,360,10.0
2014-02-19,24,64.93,30.11,9,110,10.0
2014-06-08,31,62.5,30.01,0,0,10.0
2023-03-06,26,78.64,30.08,5,110,10.0
2020-03-04,23,78.21,30.05,5,150,10.0
2015-04-16,31,52.01,30.06,12,130,10.0
2015-12-23,27,78.78,30.09,13,140,10.0
2022-12-23,27,74.14,29.97,8,260,10.0
2018-04-04,23,88.52,29.98,4,130,10.0
2020-08-21,32,70.66,29.9,10,140,10.0
2018-07-13,25,88.68,30.09,0,0,10.0
2017-10-19,31,62.5,29.97,9,80,10.0
2016-08-24,29,83.9,30.06,7,50,10.0
2020-09-17,29,74.47,29.97,6,130,10.0
2015-07-04,25,78.5,30.06,3,50,10.0
2023-02-10,27,61.61,30.19,13,120,10.0
2019-03-28,22,64.5,30.12,7,30,10.0
2015-11-03,29,65.98,29.98,9,120,10.0
2016-04-21,23,53.32,30.04,11,100,10.0
2015-04-29,25,83.45,29.77,5,110,10.0
2015-08-22,30,66.18,29.99,3,330,10.0
2017-01-12,26,57.63,30.27,11,100,10.0
2023-07-12,27,94.27,30.08,6,140,10.0
2015-09-27,27,74.14,29.91,4,20,10.0
2023-11-09,23,83.22,30.02,0,0,10.0
2017-12-01,22,78.06,30.01,3,350,10.0
2017-06-06,26,88.76,29.89,3,130,10.0
2020-01-31,17,77.31,30.0,0,0,10.0
2023-08-12,29,74.47,29.97,3,90,10.0
2021-09-10,32,62.71,29.97,10,120,10.0
2016-12-18,26,78.64,30.13,9,110,10.0
2021-01-13,18,82.63,30.11,6,340,8.0
2022-06-30,28,78.92,30.14,5,110,10.0
2021-07-02,25,94.19,30.02,0,0,10.0
2018-06-13,27,83.68,30.05,6,90,10.0
2020-01-24,26,54.08,30.06,8,150,10.0
2014-02-01,24,88.6,30.1,5,140,10.0
2016-03-03,22,78.06,30.07,0,0,10.0
2022-07-30,29,70.11,30.13,11,100,10.0
2022-09-26,29,74.47,29.89,5,100,10.0
2021-02-25,21,94.02,30.15,0,0,5.0
2019-05-13,25,88.68,29.9,6,190,10.0
2014-04-23,23,73.46,29.91,6,240,10.0
2014-01-21,20,68.38,30.04,5,240,10.0
2016-04-15,24,78.35,29.9,7,130,10.0
2023-02-21,27,61.61,30.1,5,190,10.0
2016-05-15,25,83.45,30.0,3,270,10.0
2014-01-30,16,93.79,30.06,7,330,5.0
2017-01-27,26,65.36,30.01,3,300,10.0
2021-09-14,29,74.47,30.03,8,80,10.0
2017-03-14,21,88.35,29.87,5,220,10.0
2020-01-27,19,37.06,30.02,3,20,10.0
2015-05-20,24,83.34,29.99,0,0,10.0
2020-09-02,31,74.79,29.97,8,60,10.0
2018-09-23,28,83.79,29.98,9,90,10.0
2015-07-17,30,62.28,30.06,5,170,10.0
2018-11-05,29,62.06,30.08,11,130,10.0
2019-02-15,27,57.87,29.97,4,40,10.0
2018-11-13,26,88.76,30.04,4,80,10.0
2020-01-04,24,88.6,30.1,4,180,10.0
2023-01-15,17,39.17,30.12,5,280,10.0
2022-02-21,25,61.16,30.19,12,80,10.0
2018-02-10,25,78.5,30.13,10,110,10.0
2023-10-07,28,74.3,29.89,3,140,10.0
2023-07-21,29,79.06,30.06,0,0,10.0
2018-01-05,17,39.17,30.27,6,40,10.0
2015-08-28,28,69.92,29.99,5,80,10.0
2017-10-12,28,65.77,29.93,5,30,10.0
2022-04-05,27,78.78,29.97,11,120,10.0
2017-12-15,23,56.91,30.13,8,180,10.0
